problem_id,title,difficulty,acceptance_rate_if_available,inferred_family,subfamily,state_shape,recurrence_shape,evaluation_order,transition_cost,likely_time_complexity,likely_space_complexity,top_down_or_bottom_up_preferred,optimization_primitives,representative_or_not,confidence,notes
3539,Find Sum of Array Product of Magical Sequences,Hard,61.8%,Counting Combinatorics DP,Sequence/counting with category state,dp[i][state],append element satisfying category rules,increasing i,varies,varies,varies,bottom-up,compressed automaton states,non-representative / later refinement,heuristic-medium,Need statement to refine.
3543,Maximum Weighted K-Edge Path,Medium,20.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3544,Subtree Inversion Sum,Hard,44.1%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
3553,Minimum Weighted Subgraph With the Required Paths II,Hard,50.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3557,Find Maximum Number of Non Intersecting Substrings,Medium,30.7%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
3559,Number of Ways to Assign Edge Weights II,Hard,59.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3562,Maximum Profit from Trading Stocks with Discounts,Hard,56.6%,Stock State-Machine DP,Stock state-machine DP,dp[day][holding][transaction/cooldown/fee state],buy / sell / hold / rest transitions,increasing day,O(number of legal actions per state),O(n * state_count),O(state_count),bottom-up state machine,state compression; greedy if unconstrained,representative,manual-high,Use holding/not-holding as the irreducible state axis; constraints add dimensions or shifted transitions.
3563,Lexicographically Smallest String After Adjacent Removals,Hard,17.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3573,Best Time to Buy and Sell Stock V,Medium,60.7%,Stock State-Machine DP,Stock state-machine DP,dp[day][holding][transaction/cooldown/fee state],buy / sell / hold / rest transitions,increasing day,O(number of legal actions per state),O(n * state_count),O(state_count),bottom-up state machine,state compression; greedy if unconstrained,representative,manual-high,Use holding/not-holding as the irreducible state axis; constraints add dimensions or shifted transitions.
3575,Maximum Good Subtree Score,Hard,45.4%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
3578,Count Partitions With Max-Min Difference at Most K,Medium,58.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3579,Minimum Steps to Convert String with Operations,Hard,43.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3585,Find Weighted Median Node in Tree,Hard,26.6%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
3592,Inverse Coin Change,Medium,52.0%,Misc / Title-Inferred DP,Coin Change minimum coins,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3593,Minimum Increments to Equalize Leaf Paths,Medium,41.3%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3599,Partition Array to Minimize XOR,Medium,41.4%,Partition DP,Prefix partition / cut DP,dp[i] or dp[i][k] over first i items/characters,choose previous cut j and combine segment cost,"increasing i, sometimes increasing k",O(n) cut choices,O(n^2) or O(kn^2),O(nk),bottom-up or memo,prefix sums; precomputed segment costs; monotonic optimizations if valid,non-representative / later refinement,heuristic-high,The recurrence is usually min/max over previous cut position.
3603,Minimum Cost Path with Alternating Directions II,Medium,44.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3610,Minimum Number of Primes to Sum to Target,Medium,59.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3615,Longest Palindromic Path in Graph,Hard,22.2%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
